label,kind,requested_label_radius,measured_time_norm,measured_euclidean_norm,dt_s,success,future_dT_K,future_max_dY,increment_dT_K,increment_max_dY,scaled_future,scaled_increment,gain_future,gain_increment,gain_T,gain_Y,gain_denominator_status
heldout_2,held_out,0.6,0.6,1.0392304845413265,1e-05,True,0.05932549834778911,4.2815585507560705e-06,0.009266510505312908,1.1114444549292779e-05,0.0007721651380327502,0.001375696824048972,0.7060702382064883,1.2579415158923808,1.1851118231649513,0.44034799708644917,resolved
heldout_2,held_out,0.6,0.6,1.0392304845413265,0.0001,True,0.01500534716888069,1.09285773267076e-06,0.03505364067359551,7.925743731207469e-06,0.00019603917164602005,0.0011234350781697854,0.1792588370080459,1.0272725796372613,0.29975330736008826,0.11239778879049235,resolved
heldout_3,held_out,0.1,0.09999999999999996,0.17320508075688767,1e-07,True,0.017032036060754763,3.6193190547373355e-07,0.0037024360872237594,1.9695126500518523e-06,0.0001773069757121568,0.00026498243224331295,0.6840550107342619,1.0223092453331055,1.2777604800275928,0.16281325692602638,resolved
heldout_3,held_out,0.1,0.09999999999999996,0.17320508075688767,1e-06,True,0.01773353772387054,1.1332308494926835e-06,0.004403937750339537,2.7408115940708022e-06,0.00021954589422327336,0.0003453051157085008,0.8470138776342989,1.3321962866031718,1.3303878405266905,0.5097782280715273,resolved
heldout_3,held_out,0.1,0.09999999999999996,0.17320508075688767,1e-05,True,0.015267503627910628,1.1013421417072067e-06,0.0019379036543796246,2.7089228862853254e-06,0.000198679360967181,0.00032971362230238896,0.7665102393924763,1.2720438918852366,1.1453834817419712,0.49543325241396513,resolved
heldout_3,held_out,0.1,0.09999999999999996,0.17320508075688767,0.0001,True,0.0038639788936052355,2.813843999471821e-07,0.009465621079925768,1.8889651445253008e-06,5.047890066377354e-05,0.00026532585741993004,0.1947489363953086,1.0236341887648777,0.2898795838793405,0.1265793645454148,resolved
heldout_4,held_out,0.3,0.3,0.5196152422706632,1e-07,True,0.02317176615997596,4.977455090315885e-07,0.004977186065843853,2.652862185009708e-06,0.00024175690556602026,0.00035637920081539506,0.6950557928832352,1.0245971150643882,1.2735532251963888,0.16790728600637178,resolved
heldout_4,held_out,0.3,0.3,0.5196152422706632,1e-06,True,0.02409446235606083,1.541116314479618e-06,0.005899882261928724,3.6962329904577373e-06,0.0002984382155442845,0.0004643274022647301,0.8580156585233263,1.3349502881124158,1.3242659204776857,0.5198734154083403,resolved
heldout_4,held_out,0.3,0.3,0.5196152422706632,1e-05,True,0.020732885248435196,1.4982588440182187e-06,0.002538305154303089,3.653375519996338e-06,0.00026999732902743085,0.0004435017649464162,0.7762475581168812,1.2750761768654615,1.1395088614945124,0.5054160643731246,resolved
heldout_4,held_out,0.3,0.3,0.5196152422706632,0.0001,True,0.005235249535871844,3.8141613878384106e-07,0.012959330558260262,2.5365328147619604e-06,6.840595535106759e-05,0.0003558062686487996,0.19666844851092521,1.0229499239722084,0.287736760551031,0.128665246677615,resolved
