case,measured_time_norm,reference_used,dt_s,future_dT_K,future_max_abs_dY,increment_dT_K,increment_max_abs_dY,E_max_T1_Y1e-3,E_max_T1_Y1e-4,E_max_T10_Y1e-3,enthalpy_mismatch_J_kg,elemental_mismatch_max
test_6,0.30000000000000004,predicted_canonical,1e-05,0.027372927319902374,1.978389289364335e-06,0.0023160563137025747,5.097751078236845e-06,0.027372927319902374,0.027372927319902374,0.002737292731990237,2.561137080192566e-09,6.661338147750939e-16
test_6,0.30000000000000004,predicted_canonical,0.0001,0.006910428212449915,5.034831525307926e-07,-0.018146442793749884,3.6228449414033026e-06,0.006910428212449915,0.006910428212449915,0.0006910428212449915,3.4924596548080444e-08,6.661338147750939e-16
test_6,0.30000000000000004,predicted_corrected,1e-07,0.031356562383734854,1.2735358626246585e-06,0.006299691596723278,3.432053964802506e-06,0.031356562383734854,0.031356562383734854,0.0031356562383734856,2.0954757928848267e-09,6.661338147750939e-16
test_6,0.30000000000000004,predicted_corrected,1e-06,0.03211781847085149,1.8693473141373484e-06,0.007060947683839913,4.9887091030098585e-06,0.03211781847085149,0.03211781847085149,0.003211781847085149,9.313225746154785e-10,6.661338147750939e-16
test_6,0.30000000000000004,predicted_corrected,1e-05,0.02737292712117778,1.978389291473759e-06,0.0023160563341662055,5.097751080346269e-06,0.02737292712117778,0.02737292712117778,0.002737292712117778,2.561137080192566e-09,6.661338147750939e-16
test_6,0.30000000000000004,predicted_corrected,0.0001,0.006910428099217825,5.034831608297097e-07,-0.01814644268779375,3.6228449497022197e-06,0.006910428099217825,0.006910428099217825,0.0006910428099217824,3.4924596548080444e-08,6.661338147750939e-16
test_6,0.30000000000000004,oracle_canonical,1e-07,0.028407812298610224,6.099667681780385e-07,0.006216696260253229,3.3085288479173247e-06,0.028407812298610224,0.028407812298610224,0.0028407812298610223,2.0954757928848267e-09,6.661338147750939e-16
test_6,0.30000000000000004,oracle_canonical,1e-06,0.02958819642844901,1.8990963434051267e-06,0.007397080390092015,4.597658423144413e-06,0.02958819642844901,0.02958819642844901,0.002958819642844901,9.313225746154785e-10,6.661338147750939e-16
test_6,0.30000000000000004,oracle_canonical,1e-05,0.02546679840907018,1.8406618585709023e-06,0.0032756823707131844,4.5392239383101884e-06,0.02546679840907018,0.02546679840907018,0.002546679840907018,2.561137080192566e-09,6.661338147750939e-16
test_6,0.30000000000000004,oracle_canonical,0.0001,0.006429224637031439,4.684235124785552e-07,-0.015761891401325556,3.1669855922178414e-06,0.006429224637031439,0.006429224637031439,0.0006429224637031439,3.4924596548080444e-08,6.661338147750939e-16
